Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
8711509	  0.00	217.667271	38.803283	160.430843	31.617697	290.682520	88.050987	317.351925	20.825234	935.948410	177.272209	714.982504	150.627938	1247.038502	377.025776	1349.761147	100.384699	168.078106	172.230827	174.175461	178.402428	180.000000	190.611992	187.708549	195.150528	0	0	0	0	0	10.923911	3.066255	2.512801	9.020347	4.840516	3.517799	6.458387	1.317393	11.743593	4.749821	7.593983	9.582740	8.709917	5.075663	9.399365	5.206524	194.243958	343.878403	62.562405	215.496765	180.000000	170.086403	111.946704	132.748825	
8711529	  0.02	217.415318	38.929796	160.630239	31.777016	290.990597	87.815255	316.742329	20.771379	936.548337	177.411744	715.564800	150.618559	1247.104144	376.704126	1348.574471	100.350681	168.105110	172.393379	174.176544	178.622139	180.000000	190.611206	187.858208	195.560753	0	0	0	0	0	2.141517	2.047364	8.506699	2.341174	8.079777	3.169765	2.210101	2.857877	4.545731	9.023677	9.400710	5.093732	13.284475	4.350534	5.806279	4.703229	323.449890	244.573372	319.734909	262.050552	180.000000	292.100359	110.212730	195.382477	
8711549	  0.04	217.325885	39.075172	160.368785	31.726015	290.717110	87.921175	316.464724	20.914462	935.917725	177.423792	715.176379	150.545306	1245.948214	376.694548	1348.678546	100.503430	168.110725	172.292305	174.161400	178.164047	180.000000	190.566566	187.920647	195.875832	0	0	0	0	0	7.076228	3.410125	2.389487	6.661655	2.895802	1.756894	5.291807	4.149381	13.109517	10.345438	5.738495	8.927392	8.161787	6.803499	7.017177	6.881934	225.714363	32.917835	135.534779	159.458427	180.000000	213.590454	3.950188	139.812233	
8711569	  0.06	217.540349	38.980305	160.412145	31.830434	290.523967	87.929312	316.702035	20.854564	936.115504	177.523140	715.402709	150.670779	1246.519713	376.955681	1349.000532	100.479288	167.965420	172.285194	174.099693	178.157990	180.000000	190.439064	187.803040	195.217133	0	0	0	0	0	6.474549	1.359130	1.640093	1.501229	3.675660	4.027907	2.722500	3.534574	10.753553	4.537488	6.826058	5.432392	7.704889	6.333847	6.632292	7.576088	12.205280	107.930706	351.980045	245.915733	180.000000	158.168587	60.100498	261.078526	
8711589	  0.08	217.547959	38.931085	160.218834	31.853257	290.900797	88.091113	316.831214	20.805542	936.554865	177.373661	715.393680	150.735735	1247.528741	377.308048	1349.764930	100.470175	167.934269	172.345642	174.008118	178.234131	180.000000	190.455162	187.719643	195.539024	0	0	0	0	0	5.341480	2.418100	3.191149	4.249671	1.104316	1.425804	7.226779	1.268151	7.607540	5.995403	6.688299	6.733242	3.897323	5.241295	9.996560	6.331352	357.898861	102.969624	261.731091	204.738415	180.000000	172.690826	5.727261	64.483707	
8711609	  0.10	217.756674	38.937632	160.450837	31.872367	290.536107	87.811961	316.818983	20.834341	936.750875	177.552407	715.970913	150.704424	1247.424788	377.309634	1349.776277	100.600826	168.063648	172.352371	174.150009	178.424118	180.000000	190.628998	187.794548	195.542633	0	0	0	0	0	6.646071	0.801382	2.921066	11.189574	1.554888	8.577800	4.234709	1.890991	10.454651	6.472994	8.581789	8.537063	5.129044	9.641784	6.197323	7.672222	222.634155	350.388123	330.990788	5.159004	180.000000	304.646300	349.140907	108.779465	
8711629	  0.12	217.495159	38.992312	160.556498	31.773045	291.061882	88.099723	316.456824	20.995237	936.746238	177.621480	715.825903	150.912406	1247.931010	377.422220	1349.174398	100.629582	168.076996	172.551506	174.205620	178.377411	180.000000	190.522675	187.844635	195.502365	0	0	0	0	0	2.409974	2.617484	0.798094	1.971727	1.121015	4.042540	3.972676	0.775757	5.645940	5.684159	5.922890	4.615359	5.518354	6.818488	6.842825	6.596134	228.632105	9.198862	117.978373	337.500589	180.000000	34.219065	82.579813	266.982256	
8711649	  0.14	217.796922	39.091152	160.494288	31.816151	291.094489	88.182782	316.674064	20.875460	937.117822	177.598573	716.062299	150.946203	1247.875740	377.572933	1350.541040	100.660168	167.996460	172.307236	174.133156	178.390129	180.000000	190.488548	187.784904	195.757759	0	0	0	0	0	5.030750	1.730209	2.794060	5.336598	2.735488	4.959717	1.285053	3.102606	9.248656	5.784740	4.866063	7.698229	5.521021	7.701093	5.048723	6.890806	235.395046	141.031350	312.416119	132.146302	180.000000	199.081696	161.699768	148.229714	
8711669	  0.16	217.407800	39.195250	160.733933	31.981086	290.469154	88.107958	316.612083	20.940816	936.926326	177.834176	716.644534	151.109072	1247.567052	377.569639	1350.437819	100.574357	168.061901	172.262367	174.022804	178.186989	180.000000	190.448677	187.793312	195.740067	0	0	0	0	0	4.098288	0.719657	2.848096	2.193155	5.724470	2.248138	4.940099	5.088573	9.686271	4.368039	7.019628	7.279746	11.180215	6.188669	8.657642	6.302699	289.857620	357.853186	101.779549	120.140907	180.000000	194.816055	111.032066	346.756126	
8711689	  0.18	217.635929	39.038500	160.504232	31.757670	290.818165	88.121380	316.800376	21.150263	937.280157	177.806662	716.365373	150.907312	1247.646481	377.730358	1350.057267	100.679355	168.004272	172.120499	174.183762	178.330490	180.000000	190.579826	187.824783	195.545021	0	0	0	0	0	1.959775	2.172853	2.012854	3.003510	3.603792	5.726113	1.857571	2.893865	8.517649	8.857568	4.231429	7.600490	9.016888	7.315623	6.312243	6.536961	140.497316	72.799618	83.265533	256.241150	180.000000	45.385284	201.822258	242.732971	
