Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
3766862	  0.00	255.850156	47.214651	176.012052	25.688588	329.803179	95.011995	347.199313	18.902480	928.210491	184.290784	663.490935	105.306908	1174.816216	344.199863	1238.807782	76.718709	167.814106	174.818504	171.972561	177.304092	180.000000	192.896912	185.718712	194.018677	0	0	0	0	0	5.761602	3.454864	1.934318	1.695106	1.291919	2.898574	2.424391	2.102028	6.221248	5.220059	7.139340	4.085795	3.425089	10.484607	4.516274	3.568097	289.997113	100.330525	67.004758	120.882882	180.000000	145.894729	277.560994	171.820569	
3766882	  0.02	255.404954	47.235599	175.754442	25.715120	329.455205	94.610199	347.529017	18.854050	927.605745	184.234079	663.361299	105.367364	1174.509603	344.387790	1239.922472	76.691622	167.800900	175.087280	172.019890	177.281853	180.000000	192.884903	185.634285	194.271774	0	0	0	0	0	1.970471	2.021864	4.300885	0.405630	2.355180	5.075585	6.552700	2.357735	4.273770	4.714356	7.849241	4.088095	6.621860	8.018952	8.818719	5.035339	128.245522	332.942741	195.843124	244.006882	180.000000	49.324137	43.290663	50.025635	
3766902	  0.04	255.694363	47.434869	175.792494	25.826918	329.515203	94.718880	347.453370	18.769317	928.186272	184.450847	664.372950	105.389319	1175.016923	344.518463	1240.110490	76.727555	167.836075	175.001656	171.976494	177.633621	180.000000	192.948112	185.641411	194.178345	0	0	0	0	0	7.463345	2.598683	0.832566	0.609681	0.533202	0.876090	4.223359	2.045345	7.322391	5.072626	3.493546	3.833985	5.862307	4.321446	6.621555	5.607959	254.187782	235.538345	336.753288	79.158356	180.000000	284.363007	297.303085	242.671570	
3766922	  0.06	255.823542	47.293177	175.881760	25.782357	329.692241	94.866856	346.930280	18.777843	928.569691	184.797571	664.471596	105.339332	1175.564995	344.707702	1240.274228	76.760314	167.786480	175.124855	172.014786	177.479607	180.000000	192.766090	185.666420	193.952095	0	0	0	0	0	1.481117	2.147273	1.125357	4.421994	1.128294	2.923306	4.264165	2.210103	5.680146	8.064286	5.254396	5.009874	5.371939	4.792444	6.872606	4.028206	266.714622	111.684593	269.783409	314.725609	180.000000	291.457138	303.939148	122.667671	
3766942	  0.08	256.000366	47.337116	175.794950	25.858923	330.599116	95.268805	347.827577	18.859693	928.865994	184.798211	663.575488	105.437055	1176.123316	345.034386	1240.264712	76.691744	167.891556	175.082031	172.004478	177.745018	180.000000	192.994057	185.741638	193.887505	0	0	0	0	0	2.105867	2.965219	2.284831	5.073288	2.468812	3.729993	4.736521	2.858037	7.759355	5.329381	6.209514	6.800636	7.346575	6.609821	6.993317	6.042212	210.636055	295.901376	7.983910	294.930373	180.000000	174.350479	196.950768	151.369087	
3766962	  0.10	256.060944	47.122366	175.494544	25.841973	329.641789	95.178128	347.067115	18.828448	929.245874	184.812486	663.516191	105.255221	1175.964092	344.984605	1240.417713	76.775238	167.893208	175.146217	172.070599	177.684021	180.000000	192.945236	185.728073	194.105453	0	0	0	0	0	2.441042	3.022874	2.099973	1.896558	5.514094	0.757639	1.031691	5.615508	5.898488	8.882404	5.600063	6.433452	6.735997	4.556511	4.364720	6.811503	279.910633	12.857014	325.226124	87.338120	180.000000	345.491062	119.810856	135.600409	
3766982	  0.12	255.794991	47.252013	175.847201	25.704741	330.824531	95.021878	347.757482	18.795044	928.682673	184.549050	663.615264	105.500036	1176.513507	345.046556	1240.794238	76.805802	167.885143	175.147163	172.083168	177.997292	180.000000	192.956535	185.688316	194.194443	0	0	0	0	0	1.922608	17.566490	3.626753	0.489612	5.587834	2.393142	2.703530	5.475778	4.462828	12.644529	9.510965	5.741141	10.608028	5.002737	5.041998	7.809547	230.365703	295.740219	261.594738	88.339024	180.000000	339.416714	277.328987	352.052631	
3767002	  0.14	256.106668	47.408805	176.027807	25.725805	329.733755	95.040744	347.210081	18.952291	929.269788	184.970521	664.603429	105.478249	1176.440666	345.283623	1241.459562	76.835793	167.769211	175.018738	171.968124	177.333145	180.000000	193.005745	185.710983	194.019821	0	0	0	0	0	2.848242	1.569222	1.109056	2.054529	1.688428	2.139425	1.158171	2.134010	4.167223	5.362742	3.133259	5.657892	4.692579	6.049348	5.134424	4.326674	18.207489	201.641998	262.905392	249.737972	180.000000	176.378525	296.013749	154.489090	
3767022	  0.16	256.497956	47.481588	176.373479	25.989125	330.486317	95.256223	347.840144	18.890091	929.927853	185.035842	664.420962	105.430261	1176.676513	345.289327	1241.644409	77.021448	167.762009	174.932457	171.990162	176.871101	180.000000	192.825638	185.611397	194.484291	0	0	0	0	0	3.580414	6.063015	5.658344	1.762550	5.370044	0.780189	3.098896	3.567887	6.353282	8.495719	7.072857	3.216335	5.651926	4.716179	4.316826	5.166136	103.295130	59.750923	124.387444	140.652485	180.000000	145.869560	32.837219	44.521851	
3767042	  0.18	256.519857	47.469440	175.944214	25.917524	330.843900	95.124680	347.739455	19.082072	929.897533	185.211995	664.471230	105.475725	1177.107699	345.210691	1241.641114	76.934683	167.727928	175.053673	171.987305	177.576462	180.000000	192.864067	185.681366	193.901199	0	0	0	0	0	3.744042	2.422690	0.826240	2.279467	1.825732	0.428362	2.726694	1.052234	4.607333	5.394671	7.873319	5.155876	6.468764	4.047576	6.573749	4.224791	3.682693	223.008202	211.791611	45.229897	180.000000	18.571083	312.986069	158.565094	
