Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
6381909	  0.00	210.349617	33.213412	203.484060	51.206849	225.271329	52.944831	301.186361	19.308791	879.524131	148.746182	873.450133	228.745263	928.996911	222.414326	1236.645386	89.550278	168.590164	173.055817	174.925865	179.380478	180.000000	189.700729	188.350990	196.305992	0	0	0	0	0	1.224161	1.174098	1.153942	1.963959	8.329478	3.551477	5.273287	3.403062	5.998288	5.040784	3.841859	5.771053	9.294901	7.601813	7.114309	10.286178	198.007767	25.129448	176.755249	195.289604	180.000000	224.900412	133.580444	77.417442	
6381929	  0.02	210.740128	33.259700	203.891164	51.328505	225.396893	53.000148	301.489710	19.270478	880.159258	148.696890	874.105636	228.864453	929.710308	222.523861	1237.405025	89.531686	168.629913	172.830338	174.990547	179.311821	180.000000	189.931847	188.439377	196.597275	0	0	0	0	0	3.845619	2.641355	4.696884	1.159601	29.049880	2.499523	2.584641	3.509776	7.201398	6.199948	5.535554	4.952437	19.675716	6.232876	6.826774	10.488642	114.448387	265.725098	158.917137	162.701180	180.000000	43.727173	17.900612	346.177437	
6381949	  0.04	210.737276	33.303189	203.838135	51.250632	225.288944	52.917005	301.394328	19.362543	881.307867	148.874507	874.301768	228.892988	929.643751	222.637819	1237.266176	89.547372	168.588825	172.783607	174.857033	179.393806	180.000000	189.850937	188.377960	195.936852	0	0	0	0	0	5.920964	2.183540	0.916919	10.610345	4.405396	3.041346	1.546680	0.825539	8.804750	5.158956	3.757395	11.051217	9.659939	4.825457	6.132403	8.868891	57.043533	226.474288	38.704803	144.115997	180.000000	33.543106	352.892960	163.969280	
6381969	  0.06	210.841122	33.210842	203.960588	51.370542	225.489148	53.055701	301.182212	19.196778	881.240517	148.868605	874.397730	228.829008	930.066884	222.622995	1237.415884	89.509221	168.593536	173.031456	174.847244	179.526672	180.000000	189.720207	188.336990	196.627052	0	0	0	0	0	6.598402	4.905532	6.635436	2.891397	1.023843	1.880656	3.116095	0.977912	9.410209	6.194504	9.321928	8.827547	6.556786	5.434648	5.576073	4.051438	1.574192	6.378796	330.578701	33.254757	180.000000	98.938303	211.663113	91.135714	
6381989	  0.08	210.726203	33.302167	203.644458	50.918237	224.887468	52.942238	301.491296	19.259682	880.545544	148.743528	874.113872	228.792024	929.133380	222.400356	1237.145386	89.465160	168.694199	172.920456	174.935471	179.473907	180.000000	190.050522	188.382065	195.723221	0	0	0	0	0	6.984832	2.883571	1.403089	2.772445	2.325694	4.907635	4.175450	2.092426	7.675649	6.246193	6.113944	7.039107	6.350766	6.512754	8.024744	6.443191	50.081385	316.683588	199.956409	154.990305	180.000000	171.955461	238.096876	260.085245	
6382009	  0.10	210.772873	33.280830	203.679719	51.055426	225.339868	52.835242	301.132249	19.346990	880.912247	148.723503	873.827818	228.746712	929.581404	222.402171	1237.664785	89.353665	168.599442	172.977303	174.910141	179.566216	180.000000	189.758942	188.360512	196.119690	0	0	0	0	0	1.409207	3.929421	3.810660	1.984780	2.170269	9.920928	3.513559	2.717395	4.447796	6.546547	8.944723	6.303870	5.780314	11.044776	10.829059	6.654373	166.150230	290.153927	159.390247	252.450359	180.000000	184.876598	287.139629	315.070034	
6382029	  0.12	210.773437	33.259215	203.642765	50.891806	224.822634	52.694530	301.339057	19.322695	880.437504	148.778713	873.815006	228.699647	928.511126	222.130621	1237.150998	89.519760	168.628380	172.797722	174.807907	179.132507	180.000000	189.873230	188.329727	196.208221	0	0	0	0	0	10.564719	2.230203	6.848423	2.733078	8.238526	7.032562	4.245639	2.891802	12.171664	3.755876	9.747224	5.242878	9.837349	7.039496	7.566544	5.511000	182.945244	76.956235	232.664696	0.139198	180.000000	92.284799	344.142548	86.572076	
6382049	  0.14	210.481145	33.248993	203.332141	51.065279	224.764542	52.783293	301.204723	19.186992	879.366738	148.539069	872.988262	228.385149	928.344398	222.053510	1237.137211	89.502640	168.618423	172.940056	174.887566	179.697906	180.000000	190.185043	188.393768	195.880516	0	0	0	0	0	2.438017	2.464631	0.776474	2.567851	2.366885	0.697434	2.155253	5.496599	4.560459	5.369944	4.000442	9.558164	5.013388	4.241862	5.289774	8.260459	273.138618	218.388145	149.191307	75.920381	180.000000	253.242882	29.642508	190.643761	
6382069	  0.16	210.577320	33.214575	203.308379	50.897548	224.822238	52.847100	301.349031	19.342285	879.269434	148.536781	872.950927	228.326919	928.289615	221.996348	1237.127938	89.496913	168.633995	172.695465	174.900871	179.593346	180.000000	189.954254	188.411125	196.656952	0	0	0	0	0	4.042612	2.991793	1.189449	2.143988	3.107185	3.526636	5.908070	2.033041	9.302537	6.570907	6.079693	4.087292	7.802715	5.990500	6.353455	5.302984	261.214170	152.777702	221.167110	2.986717	180.000000	309.732754	19.565796	137.916985	
6382089	  0.18	210.186016	33.345931	203.279997	51.023406	224.817113	52.733295	301.157231	19.333964	878.628939	148.418980	872.777183	227.979311	928.097814	221.967767	1236.663444	89.339771	168.463039	172.857849	174.867729	179.392403	180.000000	190.082016	188.418877	196.444550	0	0	0	0	0	2.019678	0.731480	3.641358	1.261049	6.491063	3.397241	3.059192	7.402450	7.763042	4.757651	5.878206	5.447120	11.248758	7.138950	9.103999	10.244228	142.586777	135.483170	336.018520	24.030300	180.000000	209.161606	9.038560	49.755447	
