Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
6917309	  0.00	106.738414	16.724124	104.190144	29.055302	136.101786	31.879305	192.869784	16.098480	724.177780	125.173691	749.703274	223.443837	951.713963	234.599230	1374.161703	131.172995	167.782303	172.573997	174.584137	179.707947	180.000000	191.690613	188.972359	198.741241	0	0	0	0	0	2.746696	1.608445	3.198743	3.759187	4.625537	7.344528	1.569742	2.774621	8.829067	5.758776	9.304619	11.379207	5.366170	12.236065	5.688584	4.657938	113.402661	53.523682	221.439217	107.465647	180.000000	178.169067	207.914108	131.865265	
6917329	  0.02	106.846195	16.677733	103.868898	29.278126	136.270740	31.938692	193.212405	16.228454	724.657648	125.189140	749.483960	223.658972	953.639475	235.111889	1375.957090	131.334781	167.670929	172.238960	174.488602	179.768066	180.000000	191.499031	188.857735	198.370766	0	0	0	0	0	1.244732	9.832511	0.556177	7.159654	7.021792	1.106483	5.795322	2.584130	4.865716	14.209618	4.415130	7.335752	7.632289	7.394882	8.790196	6.769358	172.334244	145.284894	238.149150	249.741649	180.000000	159.431626	58.343875	89.824885	
6917349	  0.04	106.930939	16.683714	103.971173	29.210578	136.616960	32.001262	193.236579	16.094202	725.512394	125.637263	750.106886	223.916430	956.067183	235.850404	1377.235762	131.534421	167.847603	172.714050	174.691124	179.753265	180.000000	192.046494	188.939316	198.488922	0	0	0	0	0	2.053033	1.148619	1.506711	0.780585	0.389779	6.246355	0.556680	5.148839	5.398858	8.536498	4.695030	3.320821	5.240340	9.890947	4.430313	9.761019	311.148987	217.265839	28.251742	258.687691	180.000000	320.106071	342.068741	41.376886	
6917369	  0.06	106.978607	16.757757	104.023401	29.236166	136.784496	32.154119	193.296516	16.010819	727.117872	126.334668	750.737437	224.237029	957.633251	236.469532	1377.299208	131.374648	167.823784	172.719688	174.483406	179.876968	180.000000	191.815742	188.948799	198.682335	0	0	0	0	0	1.960080	4.867305	0.796770	1.477883	0.779387	0.640423	0.654658	6.190127	8.033290	6.719078	9.146687	5.209409	5.233096	8.173240	3.742818	12.444298	209.303555	169.432681	58.202008	54.758923	180.000000	26.568921	12.564969	343.568371	
6917389	  0.08	106.994995	16.770317	103.915368	29.051173	136.412684	32.084527	193.068448	16.030613	727.388614	126.252807	750.596149	224.024593	956.452310	236.286730	1376.826661	131.529282	167.950302	172.815727	174.500633	179.595985	180.000000	191.517708	188.952393	198.250229	0	0	0	0	0	0.772771	2.172815	10.732406	4.045588	3.043133	7.193453	0.714742	2.913450	12.778534	5.989112	11.047683	6.881543	4.787433	8.776119	3.129593	5.190668	177.962509	236.168869	185.752960	60.520669	180.000000	133.822189	299.117676	13.746170	
6917409	  0.10	106.925129	16.847414	104.066555	29.426918	136.796011	31.979649	193.243106	16.207331	726.605854	126.312546	750.068391	224.022259	956.492756	236.240732	1376.455138	131.307619	167.728889	172.387001	174.531227	179.541084	180.000000	191.648460	188.902214	198.395477	0	0	0	0	0	1.832511	3.991839	1.123509	1.270194	1.178219	5.086508	5.971655	3.884840	7.204045	8.547908	8.820520	4.539831	5.418163	10.052935	8.184519	5.211860	17.374840	331.693573	16.690933	51.073494	180.000000	146.440712	210.589802	116.156700	
6917429	  0.12	107.036059	16.764750	103.871292	29.296919	136.215164	32.140198	193.042109	16.230208	726.314554	126.098028	750.017635	223.855654	955.458228	235.864146	1375.769072	131.368319	167.902809	172.247841	174.460022	179.575539	180.000000	191.789307	188.992249	198.699928	0	0	0	0	0	2.109603	0.464024	2.076126	3.313760	1.034102	2.287046	2.821709	5.883321	3.953958	4.900725	4.171106	5.150280	4.615511	6.526224	5.374108	10.194793	76.167562	102.625828	358.884369	104.743587	180.000000	88.069014	313.851738	37.626295	
6917449	  0.14	106.888335	16.798939	104.070757	29.148974	136.367754	31.931026	192.908293	16.001660	725.251047	126.012987	749.954555	223.899379	954.781739	235.784183	1375.604479	131.240284	167.835976	172.779938	174.714790	180.007591	180.000000	191.278503	188.875229	198.853508	0	0	0	0	0	3.877004	0.438740	12.296395	2.144836	8.554508	0.472079	4.153610	4.495419	6.681878	5.239950	10.113842	6.219166	10.228437	3.793488	6.886597	9.049576	14.695709	117.674057	149.038849	293.335948	180.000000	221.704124	357.705711	148.430634	
6917469	  0.16	106.706493	16.563302	103.857429	29.082976	136.329396	32.092900	193.045922	16.179998	725.097985	125.778414	749.301615	223.601582	954.660339	235.690220	1375.715265	131.346754	167.672119	172.812386	174.628479	179.507294	180.000000	191.789108	188.921272	198.814377	0	0	0	0	0	1.221487	2.507572	2.926064	1.130332	3.789827	5.277240	5.503223	1.169980	7.093811	5.607330	6.345907	4.203100	10.897863	9.121851	6.749858	6.292764	262.405846	82.934998	161.621277	71.224869	180.000000	258.171539	348.396353	305.464588	
6917489	  0.18	106.848338	16.637039	103.876920	29.284330	136.446054	31.893671	192.994814	16.044574	725.636906	125.992687	749.721942	223.764984	955.505263	235.790314	1375.460019	131.243350	167.757423	172.325218	174.610405	179.266136	180.000000	191.682518	188.932930	198.155266	0	0	0	0	0	1.316611	5.492985	3.284951	4.563880	4.341491	0.707194	2.893477	8.711584	9.075648	8.551422	7.432472	7.586500	6.407379	5.033278	4.523671	10.091502	305.960079	78.891918	227.015106	152.222019	180.000000	37.389797	229.322747	111.066647	
