Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
3285890	  0.00	112.360870	18.938917	119.572541	18.719501	232.831528	21.726127	177.913449	38.582582	681.050899	123.397774	711.555980	119.167770	1343.746886	126.734093	975.441105	217.420598	165.968650	175.239710	174.934415	183.627116	180.000000	191.984445	186.452895	198.101031	0	0	0	0	0	1.789160	2.725771	2.171474	2.673878	3.332954	2.814464	3.029346	2.105216	5.932920	6.013280	6.136854	5.874033	7.202786	5.611208	5.924914	5.512822	160.362208	237.217562	107.375721	146.162646	165.788283	180.000000	184.185134	150.377089	
3286090	  0.20	112.612470	19.033779	119.812400	18.762106	233.110508	21.771198	178.076678	38.668953	682.418529	123.843300	713.220840	119.538265	1345.699594	126.936208	976.841855	217.796190	166.020347	175.137130	174.957352	183.489875	180.000000	191.901392	186.455785	198.116808	0	0	0	0	0	2.334465	2.630663	3.008326	2.091796	2.830597	2.818307	1.673658	1.854514	5.925866	6.509819	6.339619	5.698824	6.900592	6.313537	6.127590	5.174886	145.935898	137.089002	188.913479	193.644799	185.922803	180.000000	179.640424	167.202370	
3286290	  0.40	112.739190	19.024429	119.820018	18.805095	233.246470	21.732109	178.158324	38.670257	683.146104	124.024929	713.619547	119.572851	1345.544152	126.888988	976.901042	217.814792	166.026216	175.350221	174.922292	183.393473	180.000000	191.800923	186.473944	198.107739	0	0	0	0	0	2.901167	2.877039	3.253820	3.247976	3.135006	1.873485	2.251083	2.504167	6.492483	6.187235	7.502369	7.677918	5.820283	5.559369	6.099285	5.294425	202.832880	163.954138	141.776369	166.865706	210.327834	180.000000	196.846937	163.418425	
3286490	  0.60	112.451785	18.997966	119.326317	18.636197	233.262120	21.706164	177.985251	38.595525	681.482927	123.488972	710.075801	118.890517	1345.499167	126.687024	975.429239	217.272665	165.999082	175.077360	174.943678	183.570550	180.000000	191.921573	186.475361	198.104377	0	0	0	0	0	2.257700	2.428727	2.997632	2.684540	2.746554	1.912892	2.635390	2.615847	5.894440	5.818843	7.305777	5.846867	5.756338	5.497196	6.019788	6.174750	169.911612	186.116354	233.356102	208.578946	205.456683	180.000000	172.905923	138.498352	
3286690	  0.80	112.789646	19.019012	119.620223	18.851265	233.120764	21.639480	178.308541	38.676676	683.736129	123.489953	712.030858	119.861102	1344.626778	126.182153	977.936114	218.021803	165.967901	175.282958	174.982250	183.626437	180.000000	191.899324	186.443714	198.111929	0	0	0	0	0	4.622605	3.191262	2.569443	1.897197	1.994519	3.078271	1.989686	1.483392	7.870913	7.739794	6.558183	5.768715	6.521716	7.109192	5.782419	4.638551	128.267656	245.284005	206.725668	220.683489	182.784082	180.000000	147.352797	194.869346	
3286890	  1.00	113.254688	19.037104	120.097867	19.020070	233.053893	21.663157	178.880375	38.889605	685.830626	123.824642	715.178307	120.849358	1344.722544	126.329378	980.918476	218.989440	165.977438	175.344432	174.945213	183.397966	180.000000	191.903059	186.442833	198.124959	0	0	0	0	0	1.720047	2.448681	3.272557	3.248544	2.587270	2.548509	2.157659	2.113211	5.638662	5.851559	7.850179	6.658076	6.395243	5.977184	5.985212	5.781912	203.727659	136.339824	160.851047	127.746356	176.252362	180.000000	216.623286	148.397733	
3287090	  1.20	113.700022	19.032275	120.601086	19.117919	233.240531	21.663579	179.335081	38.988934	688.920431	124.150653	717.931924	121.426053	1345.435343	126.378210	982.975900	219.475944	166.039574	175.309212	174.986938	183.489439	180.000000	191.854461	186.465717	198.151018	0	0	0	0	0	1.901374	1.858977	2.701613	1.857767	2.500546	2.710171	3.425723	2.632228	5.842538	6.084347	7.064444	6.577256	5.637671	6.190112	7.118652	6.282088	246.305515	159.864693	109.409190	201.055459	164.535075	180.000000	173.444979	237.072113	
3287290	  1.40	114.199801	19.025238	120.667005	19.096153	233.567590	21.550157	179.667091	39.027356	691.794332	123.729480	718.028727	121.607701	1346.739040	125.646506	984.581018	219.914993	165.996687	175.265810	174.946167	183.474674	180.000000	191.835952	186.504030	198.147739	0	0	0	0	0	1.540150	2.543937	2.633809	2.289073	1.561986	2.376068	1.942119	2.246576	5.000918	5.791154	6.625419	5.797980	5.031879	5.379219	6.388102	6.352004	152.902185	150.329111	172.269026	208.844514	179.514225	180.000000	194.834525	163.186549	
3287490	  1.60	114.737469	19.116946	121.633285	19.303730	233.834607	21.570337	180.257407	39.307837	695.062511	124.344137	723.985631	122.735928	1348.934878	125.817410	988.052095	221.071044	165.974796	175.208521	174.917990	183.495147	180.000000	191.986242	186.471150	198.051733	0	0	0	0	0	2.399869	3.292852	2.071457	3.613200	4.591673	2.972705	4.556900	1.908157	6.040244	6.047678	5.220322	7.108830	7.141668	5.920083	7.046093	6.244968	179.278785	195.023275	172.260515	93.878881	122.479159	180.000000	150.363247	172.773788	
3287690	  1.80	114.620837	19.124434	122.181893	19.399259	233.649349	21.585291	180.617220	39.382062	694.343844	124.412370	726.339974	123.187271	1347.410172	125.841192	989.863984	221.575252	166.027105	175.286304	174.943993	183.298650	180.000000	191.896829	186.483135	198.203366	0	0	0	0	0	2.512718	2.095341	1.686848	1.792180	2.726015	3.074762	2.183326	2.788642	6.423447	6.058547	4.676017	5.746577	6.437187	6.598207	6.587529	6.523365	130.918846	187.877485	224.187000	156.923195	193.152193	180.000000	202.658353	160.343231	
3287890	  2.00	113.657988	19.151364	121.783327	19.280656	233.090435	21.665455	180.045174	39.208112	688.880765	124.446594	724.928469	122.173331	1344.038577	126.414286	986.747404	220.699244	165.995856	175.365755	174.925553	183.532232	180.000000	191.845829	186.442532	198.036422	0	0	0	0	0	3.171192	1.966643	2.123178	2.858769	2.352925	2.259301	2.014224	2.062220	6.032338	5.501133	6.266284	6.685364	6.865106	5.377234	5.918285	5.787382	138.510789	152.365751	130.099232	215.054126	150.366830	180.000000	153.212947	163.527716	
3288090	  2.20	112.711037	19.004696	120.872081	18.939971	232.244861	21.629413	179.066467	38.959121	683.192675	123.725619	719.594088	120.522903	1339.571472	126.318885	981.569764	219.150331	165.998306	175.373785	174.896488	183.515622	180.000000	191.726849	186.432021	198.051373	0	0	0	0	0	2.221351	2.384611	2.755292	1.839999	2.892497	2.172733	2.502995	3.589124	5.968263	6.062851	6.446638	6.863154	6.330936	6.279541	5.823439	6.683726	167.944938	155.367751	210.558683	187.136521	198.010220	180.000000	157.843198	164.141438	
3288290	  2.40	112.737144	19.038837	120.740011	18.978971	232.343149	21.616951	178.708617	38.838422	683.562258	123.897156	718.640562	120.444274	1339.845093	126.419558	980.268184	218.791500	166.043464	175.362843	174.938968	183.506678	180.000000	191.683243	186.457908	198.056073	0	0	0	0	0	3.706028	1.601193	3.438468	2.872190	3.514400	2.704441	1.821339	2.036605	6.870017	5.582446	7.275633	5.838243	6.342373	6.342933	5.516219	5.729647	164.072538	88.549511	233.738329	202.318907	146.364549	180.000000	156.865664	255.856459	
3288490	  2.60	113.187652	19.150007	120.922651	19.022799	232.759371	21.699563	178.881308	38.869608	685.607847	124.324864	719.536474	120.789683	1342.581122	126.653706	980.425584	218.846155	166.046733	175.372544	174.962215	183.367076	180.000000	191.929064	186.448794	198.177810	0	0	0	0	0	2.042232	2.942481	2.519655	1.672272	1.373508	2.253561	2.803311	1.804659	5.398997	6.394720	6.251955	5.753635	6.360208	5.764457	6.219262	5.314044	185.879229	176.833657	232.226589	148.981743	203.000683	180.000000	149.034513	105.887019	
3288690	  2.80	113.323338	19.190076	120.936751	19.038040	232.968707	21.777209	178.781895	38.793305	686.605931	124.691470	720.052214	120.973277	1343.545922	126.880125	980.019404	218.747771	166.032550	175.197412	174.921201	183.569627	180.000000	191.920168	186.469368	197.975580	0	0	0	0	0	2.812396	3.114709	3.106009	2.829197	3.689799	2.493771	2.421482	2.815628	6.662777	6.067460	7.194527	6.422843	7.030428	6.545481	5.996875	5.697983	230.727637	178.197535	140.841875	117.025201	228.868594	180.000000	190.073127	162.075162	
3288890	  3.00	112.820717	19.085799	120.480368	18.812570	232.340826	21.724608	178.142619	38.602591	683.397116	124.175456	717.119400	119.951843	1340.450803	126.757183	976.828427	217.691087	165.991519	175.114999	174.938529	183.481890	180.000000	191.825268	186.452899	198.053083	0	0	0	0	0	2.803928	2.081008	2.422293	2.929280	2.867949	2.192398	2.849433	1.940523	6.929884	5.810023	6.666076	6.241092	6.255039	5.804884	6.302358	5.061171	212.093400	182.878332	191.186067	216.469178	181.745352	180.000000	185.447491	210.870954	
