Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
6152328	  0.00	171.030053	31.881248	131.885754	21.292701	271.789961	35.904893	163.272600	34.150792	954.891524	187.357096	740.735353	127.391793	1452.347702	188.814026	847.233339	183.138338	166.082385	173.737202	175.084634	182.479482	180.000000	189.125414	186.405943	196.846341	0	0	0	0	0	3.083654	2.395092	1.937489	2.783841	3.144699	2.469375	4.298865	6.689134	6.289255	5.410849	4.807202	5.242063	6.171742	5.303708	6.251794	9.303421	253.854332	215.384796	190.302220	185.680558	239.062656	180.000000	174.535947	251.941851	
6152428	  0.10	171.185489	31.870778	131.982460	21.330018	271.988192	35.906714	163.286842	34.207984	955.936693	187.453488	741.734816	127.399912	1453.869444	188.955668	847.492990	183.190982	166.081866	173.799791	175.069779	182.660106	180.000000	189.166539	186.411289	196.872545	0	0	0	0	0	2.636138	2.887261	3.600696	1.911260	1.961168	2.974880	1.605016	3.416832	6.576330	6.235600	6.216538	4.797741	6.478608	5.972185	6.005476	6.091025	100.033562	194.672145	206.141077	213.685197	104.871987	180.000000	134.859863	167.700700	
6152528	  0.20	171.171189	31.838963	131.985199	21.323927	272.129437	35.903964	163.398933	34.236136	956.769574	187.241534	741.768515	127.297234	1455.021371	188.875861	848.088378	183.193886	166.105769	173.906280	175.051828	182.521610	180.000000	189.137915	186.390659	196.869450	0	0	0	0	0	3.636856	2.652829	4.332426	2.293827	4.590977	2.745637	3.801012	1.231691	6.019224	5.881994	6.923702	5.433672	7.814437	5.878614	6.925511	4.685191	175.455471	152.575591	146.737447	148.513811	161.147263	180.000000	211.395075	194.773436	
6152628	  0.30	171.071162	31.780776	132.032994	21.261769	272.282817	35.964471	163.448100	34.172941	955.817110	186.659585	741.461219	127.180204	1455.805461	188.756290	848.292111	183.201103	166.140219	173.765562	175.104272	182.673119	180.000000	189.174803	186.412318	196.968362	0	0	0	0	0	4.092890	2.999892	2.543226	3.896073	2.345300	3.782652	3.062576	1.984184	7.743525	5.285275	5.218641	6.621174	6.156640	6.402460	6.134060	6.179910	229.031107	39.874117	111.652450	172.775662	188.706774	180.000000	160.322972	129.220699	
6152728	  0.40	171.154562	31.761339	131.966510	21.284991	272.449905	35.888911	163.520865	34.196343	955.910960	186.489893	741.702398	127.184413	1456.797383	188.672396	848.438463	183.166681	166.142358	173.918240	175.092131	182.560794	180.000000	189.105291	186.438336	196.848155	0	0	0	0	0	3.687042	1.456166	2.499300	3.642839	3.072387	4.424757	2.027540	2.942791	7.088440	5.039391	5.474885	5.443932	5.275198	7.638931	4.976995	8.347475	239.790503	92.031359	208.365243	118.137466	105.406576	180.000000	94.582371	231.015770	
6152828	  0.50	171.032438	31.812218	132.156877	21.306061	272.525997	35.941047	163.231757	34.169383	956.202151	186.551682	742.264635	127.197702	1457.031571	188.746072	847.785998	183.023395	166.112852	173.821352	175.103214	182.665010	180.000000	189.247941	186.423743	196.814512	0	0	0	0	0	2.894327	3.489233	2.190462	2.340725	2.918265	3.387840	2.072081	2.411103	6.361307	5.717472	6.169139	6.332493	5.617624	6.478998	5.016086	5.951470	191.076835	211.155114	193.603525	181.994347	183.937503	180.000000	102.030392	170.506754	
6152928	  0.60	171.348208	31.822540	132.081420	21.262116	272.648196	35.916442	163.569516	34.206045	957.444781	186.528146	742.747688	127.171802	1458.234157	188.651392	848.817404	183.074578	166.129792	173.780755	175.124874	182.754850	180.000000	189.209261	186.442268	196.879981	0	0	0	0	0	1.824037	1.986020	2.826359	3.334531	3.042222	1.935744	3.097102	3.046240	5.181953	5.093401	6.461485	5.571015	6.340844	6.839502	6.783392	5.506102	130.903077	150.593106	127.380526	222.196585	150.842326	180.000000	153.826048	235.859721	
6153028	  0.70	171.418840	31.762445	132.409528	21.281264	272.980389	35.892632	163.793205	34.224204	958.226236	186.737712	743.549017	127.294839	1459.136280	188.741835	849.524712	183.314954	166.113208	173.829694	175.094452	182.852040	180.000000	189.145269	186.404746	196.853512	0	0	0	0	0	3.222497	2.732564	2.385845	2.121382	2.790681	5.204172	3.966204	3.935120	5.573631	5.246318	6.544583	5.186621	5.915775	6.810228	7.161890	7.234355	266.457118	234.202367	233.466442	109.895303	236.807365	180.000000	189.739183	200.084375	
6153128	  0.80	171.445838	31.790997	132.353327	21.332296	273.347482	35.949536	163.878762	34.361441	958.162265	187.060244	743.804349	127.394583	1460.437451	189.065688	849.883631	183.467480	166.126806	173.755724	175.020126	182.637589	180.000000	189.147768	186.412952	197.025511	0	0	0	0	0	2.579059	1.925325	3.102712	2.810915	2.444223	3.386012	2.289264	2.001170	5.111557	6.323873	7.218916	5.184117	5.950125	5.838239	5.323078	6.465164	206.647368	146.330940	153.788244	198.516717	62.218397	180.000000	184.941518	120.571866	
6153228	  0.90	171.676579	31.902205	132.546281	21.399616	273.381493	36.013667	164.066249	34.313954	958.559667	187.190432	744.202702	127.566049	1460.860730	189.099116	850.589231	183.603653	166.110840	173.632997	175.076110	182.424889	180.000000	189.204100	186.382226	196.901872	0	0	0	0	0	4.875489	3.001224	2.144011	1.585412	2.740122	2.760207	2.873456	2.977653	7.233978	6.829415	5.597196	6.634857	6.482191	6.937771	5.735900	5.952181	216.258313	167.560433	132.017993	128.824129	212.248255	180.000000	207.346456	200.252684	
6153328	  1.00	171.554046	31.955017	132.677467	21.418241	273.301429	36.007102	163.905637	34.289886	958.347209	187.346429	744.757973	127.809299	1461.189866	189.219541	850.609643	183.603610	166.097614	173.845106	175.033080	182.716878	180.000000	189.203397	186.391172	196.924456	0	0	0	0	0	1.618085	2.068532	1.620210	3.119828	2.364603	2.714960	5.431785	4.246155	6.014361	5.015526	6.197454	7.824380	4.969624	5.043200	6.952564	7.284535	126.011265	117.350405	208.942690	211.383238	155.788409	180.000000	109.462585	172.775708	
6153428	  1.10	171.504946	31.847335	132.576646	21.410022	273.360684	36.049244	164.111866	34.278611	958.088217	187.301593	744.638585	127.715508	1461.704776	189.192848	851.253799	183.791321	166.148663	173.806031	175.053674	182.647651	180.000000	189.165978	186.426131	196.928773	0	0	0	0	0	1.984818	2.480599	4.458258	2.621224	3.373627	2.692359	3.302581	2.511627	4.734086	6.936643	8.029889	5.503543	6.395163	5.875274	6.735385	5.685812	138.691400	91.762022	195.128370	148.619011	180.289117	180.000000	183.414853	238.654892	
