Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
5891528	  0.00	109.429792	27.972407	61.876204	15.338309	174.938013	37.619359	92.316219	30.326014	871.366435	230.350525	498.773380	128.915114	1347.868029	279.041283	691.524567	230.392176	166.024250	173.764580	175.556049	182.572928	180.000000	189.277740	186.658264	196.721861	0	0	0	0	0	3.792999	2.609384	3.193776	3.302377	3.826114	3.187586	1.981697	2.063623	5.578108	5.581995	6.559446	6.571905	6.334055	5.675522	6.058588	5.598779	140.596241	230.428398	185.597025	217.069569	216.660121	180.000000	152.554999	168.830797	
5891628	  0.10	109.378749	27.922778	61.911414	15.287811	174.745630	37.649450	92.328612	30.286360	871.657296	230.167289	498.932348	128.888146	1347.409903	279.084432	690.781570	230.327547	166.007304	173.638568	175.663307	182.603157	180.000000	189.251126	186.624541	196.768320	0	0	0	0	0	4.028442	5.342096	3.241973	2.621419	3.531823	3.071635	2.973990	2.077432	6.455259	7.387563	6.081642	6.557055	5.611581	6.692394	6.366505	6.728726	143.663487	195.582935	189.934165	219.544224	225.413354	180.000000	177.152460	246.537746	
5891728	  0.20	109.000267	27.792435	60.003192	14.902403	174.057499	37.440354	89.159116	30.158175	867.515618	228.710475	484.374378	125.798352	1340.879353	276.833231	667.877098	229.232415	166.053497	173.682216	175.662543	182.657162	180.000000	189.202367	186.728764	196.686528	0	0	0	0	0	2.838886	3.491281	3.981874	5.500310	3.027163	2.252257	2.046420	2.395338	6.270583	6.567033	6.602728	7.089390	6.726939	5.736079	4.682063	4.941062	177.060317	122.758633	223.261553	110.938502	235.037647	180.000000	216.931666	127.805410	
5891828	  0.30	108.239622	27.573784	59.327129	14.649736	173.258457	37.170213	88.408263	30.000764	862.460019	226.958032	478.051765	124.257700	1334.964811	275.371427	662.298207	228.182465	166.032758	173.533434	175.695015	182.607539	180.000000	189.294760	186.683165	196.861754	0	0	0	0	0	2.874776	2.100474	2.715013	1.585807	1.722800	1.894132	2.522389	2.643455	6.382421	5.090964	5.701195	5.603391	5.683470	6.604975	5.332076	5.152392	159.159749	171.223654	138.652258	98.904484	217.336215	180.000000	195.608747	141.926773	
5891928	  0.40	108.216539	27.458823	60.233314	14.915967	173.074053	37.118714	89.763728	30.113577	862.101222	226.390722	485.114806	125.840333	1334.176841	275.124239	672.728561	228.647371	165.949783	173.530983	175.649840	182.526842	180.000000	189.087025	186.718628	196.677855	0	0	0	0	0	3.370158	1.734475	3.078886	3.348587	1.311610	5.700677	3.224079	4.183452	7.637460	5.094816	6.715061	5.810314	4.961269	7.718497	6.631416	6.668343	220.360999	186.078515	103.327307	275.410343	173.867840	180.000000	190.374006	215.227272	
5892028	  0.50	108.343134	27.500788	60.720856	15.017202	173.229467	37.121456	90.445183	30.229673	863.409640	226.630830	488.991739	126.796948	1335.152586	275.166406	677.138992	229.623951	166.022770	173.798038	175.698935	182.536740	180.000000	189.376601	186.726479	196.844513	0	0	0	0	0	2.334874	4.098401	1.592603	3.965424	2.304554	2.427529	2.766600	3.443194	4.634217	6.176283	4.704261	5.913558	6.015081	5.216901	5.140883	6.299019	90.225934	176.383684	208.392825	159.737549	215.742783	180.000000	171.088250	259.334182	
5892128	  0.60	108.478691	27.565819	60.798451	15.043062	173.121094	37.074913	90.892870	30.280709	863.918645	226.676764	490.852146	127.371335	1335.058320	275.113789	680.616321	230.057247	166.032435	173.533252	175.598314	182.572748	180.000000	189.355736	186.633293	196.899969	0	0	0	0	0	4.581717	2.786091	4.535612	2.039550	1.957143	2.405089	2.921128	1.822272	7.569754	7.119511	6.139439	4.893224	5.195080	5.544712	5.969426	5.418076	183.824303	171.506145	215.347752	93.807177	221.445695	180.000000	169.884100	59.498880	
5892228	  0.70	108.694021	27.520122	61.321094	15.191488	173.325816	37.183193	91.426317	30.306415	865.363483	226.818781	493.503012	128.059733	1336.347168	275.403790	684.596762	230.611963	165.984201	173.672858	175.554700	182.455081	180.000000	189.310207	186.652759	196.762012	0	0	0	0	0	3.678342	2.844853	2.802681	2.119066	1.840813	4.336882	2.743906	3.289520	5.803138	5.276495	7.061201	5.807854	6.494464	6.326159	5.621724	6.153617	188.980232	182.089208	197.316909	190.820794	166.332526	180.000000	185.534625	165.214037	
5892328	  0.80	108.845432	27.562880	61.558315	15.220891	173.468163	37.187500	91.816299	30.404969	866.567009	227.001776	495.458740	128.638418	1337.412053	275.507609	687.101971	231.191255	166.054731	173.754358	175.640839	182.413969	180.000000	189.458313	186.656540	196.883089	0	0	0	0	0	4.391822	4.916363	3.603452	3.179784	3.402435	2.507089	5.065018	2.448424	8.594756	7.530836	5.900661	6.389054	7.282661	5.002920	8.030617	6.277450	192.419700	204.000709	176.802665	156.309853	215.073329	180.000000	127.992015	150.736652	
5892428	  0.90	108.928418	27.532404	61.562041	15.324849	173.610470	37.112945	92.022945	30.495017	867.620901	227.039886	496.482507	128.973786	1337.695411	275.504443	688.985316	231.539617	166.041728	173.874510	175.590099	182.780519	180.000000	189.289217	186.607318	196.656767	0	0	0	0	0	4.247791	2.400897	3.307273	4.100003	1.261297	2.696276	1.346427	3.192058	8.114410	6.353230	6.907659	6.683457	6.869140	5.628543	4.135403	6.379944	209.877936	127.620973	189.895469	248.499642	235.074613	180.000000	187.871626	167.456961	
5892528	  1.00	108.938044	27.592311	61.775343	15.321033	173.483664	37.186923	92.061664	30.530713	868.108017	227.055275	497.842701	129.372523	1337.469374	275.557426	689.471322	231.987548	166.011108	173.636546	175.545082	182.493459	180.000000	189.502748	186.662831	196.844792	0	0	0	0	0	2.497441	2.663755	1.275934	2.392380	3.095508	2.554402	3.700014	3.198060	6.009454	6.386369	4.555626	6.820952	5.162917	6.045968	6.114764	6.185789	174.674890	197.206831	133.009943	282.311739	166.548081	180.000000	230.606281	175.162004	
5892628	  1.10	108.780404	27.457693	60.350401	15.066137	173.022342	36.969816	89.750705	30.450371	865.653722	226.646447	486.504838	127.254234	1334.102561	274.321964	672.138737	231.490602	165.984248	173.675789	175.607016	182.565666	180.000000	189.319841	186.598605	196.678131	0	0	0	0	0	3.777146	2.695424	2.588514	1.092986	2.216568	1.553617	2.458580	1.993302	7.020101	6.735993	6.424949	6.071317	6.087741	5.394381	6.559650	5.714249	126.121438	241.593390	186.388038	191.485332	171.718036	180.000000	193.690553	116.012066	
5892728	  1.20	107.764192	27.223674	59.231092	14.782836	171.967474	36.699939	88.783524	30.349508	859.025661	224.293922	477.987575	125.273823	1325.727063	272.202253	665.392142	230.426778	166.101971	173.582349	175.658426	182.759320	180.000000	189.350639	186.741347	196.833101	0	0	0	0	0	1.682163	3.499915	3.119542	1.837169	1.219731	3.268994	1.281625	3.494514	5.076404	7.735733	5.440951	5.270972	4.205742	6.695916	4.644117	7.349491	128.484794	176.682918	213.773638	85.556633	161.069889	180.000000	157.492147	127.455470	
5892828	  1.30	107.834703	27.209743	60.129516	14.999465	172.116723	36.727345	89.541229	30.327557	859.745854	224.250450	484.455588	126.630276	1326.500635	272.547928	671.371997	230.926345	166.067287	173.629181	175.737761	182.484938	180.000000	189.461678	186.705150	196.817558	0	0	0	0	0	4.891023	1.972077	2.137695	3.938676	2.892926	2.585629	2.716595	3.948196	8.530798	4.826147	4.630005	6.736465	6.213414	5.718240	6.166006	6.758330	169.669267	264.925143	238.271555	220.740777	196.888335	180.000000	152.005568	233.368445	
